Number,Treatments,Worm #1,Worm #2,Worm #3,Average
1,E coli control in NGM,53,92,65,70
2,E coli control in NGM + H2O2,dead,dead,dead,0
3,.1 mg/mL Pomegranate Juice in NGM,112,98,108,106
4,.1 mg/mL Pomegranate Juice in NGM + H2O2,dead,dead,dead,0
5,.5 mg/mL Pomegranate Juice in NGM ,24,70,72,55.33333333
6,.5 mg/mL Pomegranate Juice in NGM + H2O2,dead,dead,dead,0
7,2.5 mg/mL Pomegranate Juice in NGM,34,52,42,42.66666667
8,2.5 mg/mL Pomegranate Juice in NGM + H2O2,dead,dead,dead,0
9,.1 mg/mL Green Tea in NGM,21,9,12,14
10,.1 mg/mL Green Tea in NGM + H2O2,dead,dead,dead,0
11,.5 mg/mL Green Tea in NGM,31,12,0,21.5
12,.5 mg/mL Green Tea in NGM + H202,dead,dead,dead,0
13,2.5 mg/mL Green Tea in NGM,0,0,6,6
14,2.5 mg/mL Green Tea in NGM + H202,dead,dead,dead,0